3#__tn,3$__tt,5$__idx,1$__cid
tt__2010,cid__year,1.0,1
idx__2062,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2063,tt__M. Whitwell - Authoritarian response,1,1.0
tt__M. Whitwell - Authoritarian response,cid__title,1.0,1
idx__2063,tt__144,1,1.0
tt__144,cid__length,1.0,1
idx__2063,tt__Project Echo,1,1.0
tt__Project Echo,cid__album,1.0,1
idx__2063,tt__10,1,1.0
tt__10,cid__year,1.0,1
idx__2063,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2064,tt__Authoritarian response (Project Echo),1,1.0
tt__Authoritarian response (Project Echo),cid__title,1.0,1
idx__2064,tt__02:24,1,1.0
tt__02:24,cid__length,1.0,1
idx__2064,tt__M. Wehitwell,1,1.0
tt__M. Wehitwell,cid__artist,1.0,1
idx__2064,tt__Project Echo,1,1.0
tt__Project Echo,cid__album,1.0,1
idx__2064,tt__2010,1,1.0
tt__2010,cid__year,1.0,1
idx__2065,tt__The City Above - HÕFF: Haapsalu Horror and Fantasy Film Festival,1,1.0
tt__The City Above - HÕFF: Haapsalu Horror and Fantasy Film Festival,cid__title,1.0,1
idx__2065,tt__2,1,1.0
tt__2,cid__length,1.0,1
idx__2065,tt__Shirubi Ikazuchi,1,1.0
tt__Shirubi Ikazuchi,cid__artist,1.0,1
idx__2065,tt__'11,1,1.0
tt__'11,cid__year,1.0,1
idx__2065,tt__[Multiple languages],1,1.0
tt__[Multiple languages],cid__language,1.0,1
idx__2066,tt__Right on Track (Ulli Wengers One Hit Wonder  Volume 5),1,1.0
tt__Right on Track (Ulli Wengers One Hit Wonder  Volume 5),cid__title,1.0,1
idx__2066,tt__04:16,1,1.0
tt__04:16,cid__length,1.0,1
idx__2066,tt__Breakfast Club,1,1.0
tt__Breakfast Club,cid__artist,1.0,1
idx__2066,tt__Ulli Wengers One Hit Wonder  Volume 5,1,1.0
tt__Ulli Wengers One Hit Wonder  Volume 5,cid__album,1.0,1
idx__2066,tt__2003,1,1.0
tt__2003,cid__year,1.0,1
idx__2067,tt__009-Right on Track,1,1.0
tt__009-Right on Track,cid__title,1.0,1
idx__2067,tt__4m 16sec,1,1.0
tt__4m 16sec,cid__length,1.0,1
idx__2067,tt__Ulli Wengers One Hit Wonder  Vol. V (2003),1,1.0
tt__Ulli Wengers One Hit Wonder  Vol. V (2003),cid__album,1.0,1
idx__2067,tt__En.,1,1.0
tt__En.,cid__language,1.0,1
idx__2068,tt__Right on Track,1,1.0
tt__Right on Track,cid__title,1.0,1
idx__2068,tt__256000,1,1.0
tt__256000,cid__length,1.0,1
idx__2068,tt__B. Club,1,1.0
tt__B. Club,cid__artist,1.0,1
idx__2068,tt__Ulli Wengers One Hit Wonder  Volume 5,1,1.0
tt__Ulli Wengers One Hit Wonder  Volume 5,cid__album,1.0,1
idx__2068,tt__2003,1,1.0
tt__2003,cid__year,1.0,1
idx__2068,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2069,tt__004-Stand Down (demo),1,1.0
tt__004-Stand Down (demo),cid__title,1.0,1
idx__2069,tt__4m 4sec,1,1.0
tt__4m 4sec,cid__length,1.0,1
idx__2069,tt__Culture Club,1,1.0
tt__Culture Club,cid__artist,1.0,1
idx__2069,tt__Culture Club (unknown),1,1.0
tt__Culture Club (unknown),cid__album,1.0,1
idx__2069,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__2070,tt__007-Chases,1,1.0
tt__007-Chases,cid__title,1.0,1
idx__2070,tt__2m 13sec,1,1.0
tt__2m 13sec,cid__length,1.0,1
idx__2070,tt__mclusky,1,1.0
tt__mclusky,cid__artist,1.0,1
idx__2070,tt__2002-10-29: The Boat Club  Nottingham  UK (unknown),1,1.0
tt__2002-10-29: The Boat Club  Nottingham  UK (unknown),cid__album,1.0,1
idx__2070,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__2071,tt__Chases (2002-10-29: The Boat Club  Nottingham  UK),1,1.0
tt__Chases (2002-10-29: The Boat Club  Nottingham  UK),cid__title,1.0,1
idx__2071,tt__02:13,1,1.0
tt__02:13,cid__length,1.0,1
idx__2071,tt__mclusky,1,1.0
tt__mclusky,cid__artist,1.0,1
idx__2071,tt__2002-10-29: The Boat Club  Nottingham  UK,1,1.0
tt__2002-10-29: The Boat Club  Nottingham  UK,cid__album,1.0,1
idx__2072,tt__Chases,1,1.0
tt__Chases,cid__title,1.0,1
idx__2072,tt__133000,1,1.0
tt__133000,cid__length,1.0,1
idx__2072,tt__mclusky,1,1.0
tt__mclusky,cid__artist,1.0,1
idx__2072,tt__2002-10-29: The Boat Club  Nottingham  UK,1,1.0
tt__2002-10-29: The Boat Club  Nottingham  UK,cid__album,1.0,1
idx__2072,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2073,tt__mclusky - Chases,1,1.0
tt__mclusky - Chases,cid__title,1.0,1
idx__2073,tt__133,1,1.0
tt__133,cid__length,1.0,1
idx__2073,tt__2002-10-29: The Boat Club  Nottingham  UK,1,1.0
tt__2002-10-29: The Boat Club  Nottingham  UK,cid__album,1.0,1
idx__2073,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2074,tt__Chases - 2002-10-29: The Boat Club  Nottingham  UK,1,1.0
tt__Chases - 2002-10-29: The Boat Club  Nottingham  UK,cid__title,1.0,1
idx__2074,tt__2,1,1.0
tt__2,cid__length,1.0,1
idx__2074,tt__mclusky,1,1.0
tt__mclusky,cid__artist,1.0,1
idx__2074,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2075,tt__Louis Armstrong - What a Wonderful World,1,1.0
tt__Louis Armstrong - What a Wonderful World,cid__title,1.0,1
idx__2075,tt__140,1,1.0
tt__140,cid__length,1.0,1
idx__2075,tt__Remembering the '60s,1,1.0
tt__Remembering the '60s,cid__album,1.0,1
idx__2075,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2076,tt__What a Wonderful World (Remembering the '60s),1,1.0
tt__What a Wonderful World (Remembering the '60s),cid__title,1.0,1
idx__2076,tt__02:20,1,1.0
tt__02:20,cid__length,1.0,1
idx__2076,tt__Louis Armstrong,1,1.0
tt__Louis Armstrong,cid__artist,1.0,1
idx__2076,tt__Remembering the '60s,1,1.0
tt__Remembering the '60s,cid__album,1.0,1
idx__2076,tt__1987,1,1.0
tt__1987,cid__year,1.0,1
idx__2077,tt__What a Wonderful World - Remembering the '60s,1,1.0
tt__What a Wonderful World - Remembering the '60s,cid__title,1.0,1
idx__2077,tt__2,1,1.0
tt__2,cid__length,1.0,1
idx__2077,tt__Louis Armstrong,1,1.0
tt__Louis Armstrong,cid__artist,1.0,1
idx__2077,tt__'87,1,1.0
tt__'87,cid__year,1.0,1
idx__2077,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2078,tt__013-What a Wonderful World,1,1.0
tt__013-What a Wonderful World,cid__title,1.0,1
idx__2078,tt__2m 20sec,1,1.0
tt__2m 20sec,cid__length,1.0,1
idx__2078,tt__Louis Armstrong,1,1.0
tt__Louis Armstrong,cid__artist,1.0,1
idx__2078,tt__Remembering the '60s (1987),1,1.0
tt__Remembering the '60s (1987),cid__album,1.0,1
idx__2078,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__2079,tt__What a Wonderful World,1,1.0
tt__What a Wonderful World,cid__title,1.0,1
idx__2079,tt__140000,1,1.0
tt__140000,cid__length,1.0,1
idx__2079,tt__Louis Armstrong,1,1.0
tt__Louis Armstrong,cid__artist,1.0,1
idx__2079,tt__Remembering the '60s,1,1.0
tt__Remembering the '60s,cid__album,1.0,1
idx__2079,tt__1987,1,1.0
tt__1987,cid__year,1.0,1
idx__2079,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2080,tt__En dans med drager  del 219,1,1.0
tt__En dans med drager  del 219,cid__title,1.0,1
idx__2080,tt__238184,1,1.0
tt__238184,cid__length,1.0,1
idx__2080,tt__George R. R. Martin indlæst af Martin Greis-Rosenthal,1,1.0
tt__George R. R. Martin indlæst af Martin Greis-Rosenthal,cid__artist,1.0,1
idx__2080,tt__En dans med drager,1,1.0
tt__En dans med drager,cid__album,1.0,1
idx__2080,tt__2013,1,1.0
tt__2013,cid__year,1.0,1
idx__2080,tt__Danish,1,1.0
tt__Danish,cid__language,1.0,1
idx__2081,tt__Urbanus---Hittentit,1,1.0
tt__Urbanus---Hittentit,cid__title,1.0,1
idx__2081,tt__121,1,1.0
tt__121,cid__length,1.0,1
idx__2081,tt__Urbanus,1,1.0
tt__Urbanus,cid__album,1.0,1
idx__2081,tt__90,1,1.0
tt__90,cid__year,1.0,1
idx__2081,tt__Dutch,1,1.0
tt__Dutch,cid__language,1.0,1
idx__2082,tt__'til You're Numb (radio edit),1,1.0
tt__'til You're Numb (radio edit),cid__title,1.0,1
idx__2082,tt__3,1,1.0
tt__3,cid__length,1.0,1
idx__2082,tt__LAB,1,1.0
tt__LAB,cid__artist,1.0,1
idx__2082,tt__'til You're Numb,1,1.0
tt__'til You're Numb,cid__album,1.0,1
idx__2082,tt__'99,1,1.0
tt__'99,cid__year,1.0,1
idx__2082,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2083,tt__'til You're Numb (radio edit),1,1.0
tt__'til You're Numb (radio edit),cid__title,1.0,1
idx__2083,tt__238000,1,1.0
tt__238000,cid__length,1.0,1
idx__2083,tt__LAB,1,1.0
tt__LAB,cid__artist,1.0,1
idx__2083,tt__'til You're Numb,1,1.0
tt__'til You're Numb,cid__album,1.0,1
idx__2083,tt__1999,1,1.0
tt__1999,cid__year,1.0,1
idx__2083,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2084,tt__001-'til You're Numb (radio edit),1,1.0
tt__001-'til You're Numb (radio edit),cid__title,1.0,1
idx__2084,tt__3m 58sec,1,1.0
tt__3m 58sec,cid__length,1.0,1
idx__2084,tt__LAB,1,1.0
tt__LAB,cid__artist,1.0,1
idx__2084,tt__'til You're Numb (1999),1,1.0
tt__'til You're Numb (1999),cid__album,1.0,1
idx__2084,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__2085,tt__Stars and Hereos,1,1.0
tt__Stars and Hereos,cid__title,1.0,1
idx__2085,tt__281000,1,1.0
tt__281000,cid__length,1.0,1
idx__2085,tt__Luke Slater,1,1.0
tt__Luke Slater,cid__artist,1.0,1
idx__2085,tt__Friend of Mute: Evidence Fall 2002,1,1.0
tt__Friend of Mute: Evidence Fall 2002,cid__album,1.0,1
idx__2085,tt__2002,1,1.0
tt__2002,cid__year,1.0,1
idx__2085,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2086,tt__It's Yours (Darabano's mix),1,1.0
tt__It's Yours (Darabano's mix),cid__title,1.0,1
idx__2086,tt__471680,1,1.0
tt__471680,cid__length,1.0,1
idx__2086,tt__Jon Cuttler,1,1.0
tt__Jon Cuttler,cid__artist,1.0,1
idx__2086,tt__It's Yours (feat. E-Man),1,1.0
tt__It's Yours (feat. E-Man),cid__album,1.0,1
idx__2086,tt__2002,1,1.0
tt__2002,cid__year,1.0,1
idx__2086,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2087,tt__Fiuio - 17 Pine Avenue,1,1.0
tt__Fiuio - 17 Pine Avenue,cid__title,1.0,1
idx__2087,tt__5,1,1.0
tt__5,cid__length,1.0,1
idx__2087,tt__New Riders of the Purple Sage,1,1.0
tt__New Riders of the Purple Sage,cid__artist,1.0,1
idx__2087,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2088,tt__n.a.,1,1.0
tt__n.a.,cid__title,1.0,1
idx__2088,tt__356,1,1.0
tt__356,cid__length,1.0,1
idx__2088,tt__17 Pine Avenue,1,1.0
tt__17 Pine Avenue,cid__album,1.0,1
idx__2088,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2089,tt__003-Fiuio,1,1.0
tt__003-Fiuio,cid__title,1.0,1
idx__2089,tt__5m 56sec,1,1.0
tt__5m 56sec,cid__length,1.0,1
idx__2089,tt__New Riders of the Purple Sage,1,1.0
tt__New Riders of the Purple Sage,cid__artist,1.0,1
idx__2089,tt__17 Pine Avenue (unknown),1,1.0
tt__17 Pine Avenue (unknown),cid__album,1.0,1
idx__2089,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__2090,tt__Fimuio,1,1.0
tt__Fimuio,cid__title,1.0,1
idx__2090,tt__356933,1,1.0
tt__356933,cid__length,1.0,1
idx__2090,tt__New Riders of the Purple Sage,1,1.0
tt__New Riders of the Purple Sage,cid__artist,1.0,1
idx__2090,tt__17 Pine Avenue,1,1.0
tt__17 Pine Avenue,cid__album,1.0,1
idx__2090,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2091,tt__Fiuio (17 Pine Avenue),1,1.0
tt__Fiuio (17 Pine Avenue),cid__title,1.0,1
idx__2091,tt__05:56,1,1.0
tt__05:56,cid__length,1.0,1
idx__2091,tt__New Riders of the Pburple Sage,1,1.0
tt__New Riders of the Pburple Sage,cid__artist,1.0,1
idx__2091,tt__17 Pine Avenue,1,1.0
tt__17 Pine Avenue,cid__album,1.0,1
idx__2092,tt__Владимир Высоцкий - «Прошла пора вступлений и прелюдий…»,1,1.0
tt__Владимир Высоцкий - «Прошла пора вступлений и прелюдий…»,cid__title,1.0,1
idx__2092,tt__132,1,1.0
tt__132,cid__length,1.0,1
idx__2092,tt__Весь Владимир Высоцкий,1,1.0
tt__Весь Владимир Высоцкий,cid__album,1.0,1
idx__2092,tt__0,1,1.0
tt__0,cid__year,1.0,1
idx__2092,tt__Russian,1,1.0
tt__Russian,cid__language,1.0,1
idx__2093,tt__Christmas In Vegas - Christmas Time In Texas,1,1.0
tt__Christmas In Vegas - Christmas Time In Texas,cid__title,1.0,1
idx__2093,tt__3,1,1.0
tt__3,cid__length,1.0,1
idx__2093,tt__Dale Watson,1,1.0
tt__Dale Watson,cid__artist,1.0,1
idx__2093,tt__'01,1,1.0
tt__'01,cid__year,1.0,1
idx__2093,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2094,tt__010-Christmas In Vegas,1,1.0
tt__010-Christmas In Vegas,cid__title,1.0,1
idx__2094,tt__3m 8sec,1,1.0
tt__3m 8sec,cid__length,1.0,1
idx__2094,tt__Dale Watson,1,1.0
tt__Dale Watson,cid__artist,1.0,1
idx__2094,tt__Christmas Time In Texas (2001),1,1.0
tt__Christmas Time In Texas (2001),cid__album,1.0,1
idx__2094,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__2095,tt__Christmas In Vegas,1,1.0
tt__Christmas In Vegas,cid__title,1.0,1
idx__2095,tt__188000,1,1.0
tt__188000,cid__length,1.0,1
idx__2095,tt__Dale Watsson,1,1.0
tt__Dale Watsson,cid__artist,1.0,1
idx__2095,tt__Christmas Time In Texas,1,1.0
tt__Christmas Time In Texas,cid__album,1.0,1
idx__2095,tt__2001,1,1.0
tt__2001,cid__year,1.0,1
idx__2095,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2096,tt__The Girl's Alright With Me,1,1.0
tt__The Girl's Alright With Me,cid__title,1.0,1
idx__2096,tt__178733,1,1.0
tt__178733,cid__length,1.0,1
idx__2096,tt__The Temptations,1,1.0
tt__The Temptations,cid__artist,1.0,1
idx__2096,tt__emperors pf Sol,1,1.0
tt__emperors pf Sol,cid__album,1.0,1
idx__2096,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2097,tt__The Girl's Alright With Me - Emperors of Soul,1,1.0
tt__The Girl's Alright With Me - Emperors of Soul,cid__title,1.0,1
idx__2097,tt__2,1,1.0
tt__2,cid__length,1.0,1
idx__2097,tt__Temptations,1,1.0
tt__Temptations,cid__artist,1.0,1
idx__2097,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2098,tt__The Girl's Alright With Me (Emperors of Soul),1,1.0
tt__The Girl's Alright With Me (Emperors of Soul),cid__title,1.0,1
idx__2098,tt__02:58,1,1.0
tt__02:58,cid__length,1.0,1
idx__2098,tt__Temptations,1,1.0
tt__Temptations,cid__artist,1.0,1
idx__2098,tt__Emperors of Soul,1,1.0
tt__Emperors of Soul,cid__album,1.0,1
idx__2099,tt__The Temptations - The Girl's Alright With Me,1,1.0
tt__The Temptations - The Girl's Alright With Me,cid__title,1.0,1
idx__2099,tt__178,1,1.0
tt__178,cid__length,1.0,1
idx__2099,tt__Emperors of Soul,1,1.0
tt__Emperors of Soul,cid__album,1.0,1
idx__2099,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2100,tt__A Song Without a Song (Please Save My Earth Image Soundtrack (US Version)),1,1.0
tt__A Song Without a Song (Please Save My Earth Image Soundtrack (US Version)),cid__title,1.0,1
idx__2100,tt__04:46,1,1.0
tt__04:46,cid__length,1.0,1
idx__2100,tt__Czech Phihlharmonic Chamber OrcheCstra,1,1.0
tt__Czech Phihlharmonic Chamber OrcheCstra,cid__artist,1.0,1
idx__2100,tt__Please Save My Earth Image Soundtrack (US Version),1,1.0
tt__Please Save My Earth Image Soundtrack (US Version),cid__album,1.0,1
idx__2101,tt__A Song Without a Song,1,1.0
tt__A Song Without a Song,cid__title,1.0,1
idx__2101,tt__286573,1,1.0
tt__286573,cid__length,1.0,1
idx__2101,tt__Czech Philharmonic Chamber Orchestra,1,1.0
tt__Czech Philharmonic Chamber Orchestra,cid__artist,1.0,1
idx__2101,tt__Please Save My Earth Imagve Soundtrack (US Version),1,1.0
tt__Please Save My Earth Imagve Soundtrack (US Version),cid__album,1.0,1
idx__2101,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2102,tt__A Song Without a Song - Please Save My Earth Image Soundtrack (US Version),1,1.0
tt__A Song Without a Song - Please Save My Earth Image Soundtrack (US Version),cid__title,1.0,1
idx__2102,tt__4,1,1.0
tt__4,cid__length,1.0,1
idx__2102,tt__Czech Philharmonic Chamber Orchestra,1,1.0
tt__Czech Philharmonic Chamber Orchestra,cid__artist,1.0,1
idx__2102,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2103,tt__Czech Philharmonic Chamber Orchestra - A Song Without a Song,1,1.0
tt__Czech Philharmonic Chamber Orchestra - A Song Without a Song,cid__title,1.0,1
idx__2103,tt__286,1,1.0
tt__286,cid__length,1.0,1
idx__2103,tt__Please Save My Earth Image Soundtrack (US Version),1,1.0
tt__Please Save My Earth Image Soundtrack (US Version),cid__album,1.0,1
idx__2103,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2104,tt__Wolfgang Amadeus Mozart - Serenade No. 8 in D major  K. 269a/286 "Notturno for Four Orchestras": III. Minuetto,1,1.0
tt__Wolfgang Amadeus Mozart - Serenade No. 8 in D major  K. 269a/286 "Notturno for Four Orchestras": III. Minuetto,cid__title,1.0,1
idx__2104,tt__456,1,1.0
tt__456,cid__length,1.0,1
idx__2104,tt__Complete Mozart Edition,1,1.0
tt__Complete Mozart Edition,cid__album,1.0,1
idx__2104,tt__0,1,1.0
tt__0,cid__year,1.0,1
idx__2104,tt__[Multiple languages],1,1.0
tt__[Multiple languages],cid__language,1.0,1
idx__2105,tt__Une muinasjutt (Mäe kaks nõlva),1,1.0
tt__Une muinasjutt (Mäe kaks nõlva),cid__title,1.0,1
idx__2105,tt__04:25,1,1.0
tt__04:25,cid__length,1.0,1
idx__2105,tt__Tõnis Mägi & Muusik-Seif,1,1.0
tt__Tõnis Mägi & Muusik-Seif,cid__artist,1.0,1
idx__2105,tt__Mäe kaks nõlva,1,1.0
tt__Mäe kaks nõlva,cid__album,1.0,1
idx__2105,tt__1983,1,1.0
tt__1983,cid__year,1.0,1
idx__2106,tt__蔡依林 - 妥協,1,1.0
tt__蔡依林 - 妥協,cid__title,1.0,1
idx__2106,tt__264,1,1.0
tt__264,cid__length,1.0,1
idx__2106,tt__花蝴蝶,1,1.0
tt__花蝴蝶,cid__album,1.0,1
idx__2106,tt__9,1,1.0
tt__9,cid__year,1.0,1
idx__2106,tt__Chinese,1,1.0
tt__Chinese,cid__language,1.0,1
idx__2107,tt__妥協,1,1.0
tt__妥協,cid__title,1.0,1
idx__2107,tt__264080,1,1.0
tt__264080,cid__length,1.0,1
idx__2107,tt__蔡依林,1,1.0
tt__蔡依林,cid__artist,1.0,1
idx__2107,tt__花蝴蝶,1,1.0
tt__花蝴蝶,cid__album,1.0,1
idx__2107,tt__2009,1,1.0
tt__2009,cid__year,1.0,1
idx__2107,tt__Chinese,1,1.0
tt__Chinese,cid__language,1.0,1
idx__2108,tt__妥協 (花蝴蝶),1,1.0
tt__妥協 (花蝴蝶),cid__title,1.0,1
idx__2108,tt__04:24,1,1.0
tt__04:24,cid__length,1.0,1
idx__2108,tt__蔡依林,1,1.0
tt__蔡依林,cid__artist,1.0,1
idx__2108,tt__花蝴蝶,1,1.0
tt__花蝴蝶,cid__album,1.0,1
idx__2108,tt__2009,1,1.0
tt__2009,cid__year,1.0,1
idx__2109,tt__004-,1,1.0
tt__004-,cid__title,1.0,1
idx__2109,tt__4m 24sec,1,1.0
tt__4m 24sec,cid__length,1.0,1
idx__2109,tt__-2009,1,1.0
tt__-2009,cid__album,1.0,1
idx__2109,tt__Chi.,1,1.0
tt__Chi.,cid__language,1.0,1
idx__2110,tt__妥協 - 花蝴蝶,1,1.0
tt__妥協 - 花蝴蝶,cid__title,1.0,1
idx__2110,tt__4,1,1.0
tt__4,cid__length,1.0,1
idx__2110,tt__蔡依林,1,1.0
tt__蔡依林,cid__artist,1.0,1
idx__2110,tt__'09,1,1.0
tt__'09,cid__year,1.0,1
idx__2110,tt__Chinese,1,1.0
tt__Chinese,cid__language,1.0,1
idx__2111,tt__シェーン・トゥルース （4スロー、2クイック・ステップス）：フィッスル・オウアー・ザ・レイブ・オエット〜マギー・キャメロン - スコットランドのバグパイプ—ハイランドの風,1,1.0
tt__シェーン・トゥルース （4スロー、2クイック・ステップス）：フィッスル・オウアー・ザ・レイブ・オエット〜マギー・キャメロン - スコットランドのバグパイプ—ハイランドの風,cid__title,1.0,1
idx__2111,tt__ビル・クレメント,1,1.0
tt__ビル・クレメント,cid__artist,1.0,1
idx__2111,tt__'99,1,1.0
tt__'99,cid__year,1.0,1
idx__2111,tt__[Multiple  languages],1,1.0
tt__[Multiple  languages],cid__language,1.0,1
idx__2112,tt__Marco Minnemann - Hair Off,1,1.0
tt__Marco Minnemann - Hair Off,cid__title,1.0,1
idx__2112,tt__300,1,1.0
tt__300,cid__length,1.0,1
idx__2112,tt__The Green Mindbomb,1,1.0
tt__The Green Mindbomb,cid__album,1.0,1
idx__2112,tt__98,1,1.0
tt__98,cid__year,1.0,1
idx__2112,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2113,tt__Hair The - Off Green Mindbomb,1,1.0
tt__Hair The - Off Green Mindbomb,cid__title,1.0,1
idx__2113,tt__5,1,1.0
tt__5,cid__length,1.0,1
idx__2113,tt__Marco Minnemann,1,1.0
tt__Marco Minnemann,cid__artist,1.0,1
idx__2113,tt__'98,1,1.0
tt__'98,cid__year,1.0,1
idx__2113,tt__Ennglish,1,1.0
tt__Ennglish,cid__language,1.0,1
idx__2114,tt__005-Hair Off,1,1.0
tt__005-Hair Off,cid__title,1.0,1
idx__2114,tt__5m 0sec,1,1.0
tt__5m 0sec,cid__length,1.0,1
idx__2114,tt__Marco Minnemann,1,1.0
tt__Marco Minnemann,cid__artist,1.0,1
idx__2114,tt__The Green Mindbomb (1998),1,1.0
tt__The Green Mindbomb (1998),cid__album,1.0,1
idx__2114,tt__EnGg.,1,1.0
tt__EnGg.,cid__language,1.0,1
idx__2115,tt__Hair Off,1,1.0
tt__Hair Off,cid__title,1.0,1
idx__2115,tt__300200,1,1.0
tt__300200,cid__length,1.0,1
idx__2115,tt__Marco Minnemann,1,1.0
tt__Marco Minnemann,cid__artist,1.0,1
idx__2115,tt__The Green Mindbomb,1,1.0
tt__The Green Mindbomb,cid__album,1.0,1
idx__2115,tt__1998,1,1.0
tt__1998,cid__year,1.0,1
idx__2115,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2116,tt__002-Space of Clouds,1,1.0
tt__002-Space of Clouds,cid__title,1.0,1
idx__2116,tt__2m 49sec,1,1.0
tt__2m 49sec,cid__length,1.0,1
idx__2116,tt__Eric Johnson,1,1.0
tt__Eric Johnson,cid__artist,1.0,1
idx__2116,tt__Souvnir (2002),1,1.0
tt__Souvnir (2002),cid__album,1.0,1
idx__2116,tt__Eng.,1,1.0
tt__Eng.,cid__language,1.0,1
idx__2117,tt__unknown,1,1.0
tt__unknown,cid__title,1.0,1
idx__2117,tt__169506,1,1.0
tt__169506,cid__length,1.0,1
idx__2117,tt__Eric Johnson,1,1.0
tt__Eric Johnson,cid__artist,1.0,1
idx__2117,tt__Souvenir,1,1.0
tt__Souvenir,cid__album,1.0,1
idx__2117,tt__2002,1,1.0
tt__2002,cid__year,1.0,1
idx__2117,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2118,tt__Orgasm,1,1.0
tt__Orgasm,cid__title,1.0,1
idx__2118,tt__799000,1,1.0
tt__799000,cid__length,1.0,1
idx__2118,tt__X,1,1.0
tt__X,cid__artist,1.0,1
idx__2118,tt__1988-09-04: Kyoto Sports Valley,1,1.0
tt__1988-09-04: Kyoto Sports Valley,cid__album,1.0,1
idx__2118,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2119,tt__Close rto Me,1,1.0
tt__Close rto Me,cid__title,1.0,1
idx__2119,tt__148106,1,1.0
tt__148106,cid__length,1.0,1
idx__2119,tt__Millenary,1,1.0
tt__Millenary,cid__artist,1.0,1
idx__2119,tt__High Energy,1,1.0
tt__High Energy,cid__album,1.0,1
idx__2119,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2120,tt__Supergabber (The Braun MTV Eurochart '97  Volume 4),1,1.0
tt__Supergabber (The Braun MTV Eurochart '97  Volume 4),cid__title,1.0,1
idx__2120,tt__03:00,1,1.0
tt__03:00,cid__length,1.0,1
idx__2120,tt__Hakkûhbar,1,1.0
tt__Hakkûhbar,cid__artist,1.0,1
idx__2120,tt__The Braun MTV Eurochart '97  Volume 4,1,1.0
tt__The Braun MTV Eurochart '97  Volume 4,cid__album,1.0,1
idx__2120,tt__1997,1,1.0
tt__1997,cid__year,1.0,1
idx__2120,tt__n.a.,1,1.0
tt__n.a.,cid__language,1.0,1
idx__2121,tt__Bang Time feat. M.O.P. - The Green Ghost Project,1,1.0
tt__Bang Time feat. M.O.P. - The Green Ghost Project,cid__title,1.0,1
idx__2121,tt__4,1,1.0
tt__4,cid__length,1.0,1
idx__2121,tt__Styles P,1,1.0
tt__Styles P,cid__artist,1.0,1
idx__2121,tt__English,1,1.0
tt__English,cid__language,1.0,1
idx__2122,tt__Mátenme porque me muero,1,1.0
tt__Mátenme porque me muero,cid__title,1.0,1
idx__2122,tt__217000,1,1.0
tt__217000,cid__length,1.0,1
idx__2122,tt__Caifanes,1,1.0
tt__Caifanes,cid__artist,1.0,1
idx__2122,tt__Lo esencial del rock en tu idioma,1,1.0
tt__Lo esencial del rock en tu idioma,cid__album,1.0,1
idx__2122,tt__2008,1,1.0
tt__2008,cid__year,1.0,1
idx__2122,tt__Spanish,1,1.0
tt__Spanish,cid__language,1.0,1
idx__2123,tt__Caifanes - Mátenme porque me muero,1,1.0
tt__Caifanes - Mátenme porque me muero,cid__title,1.0,1
idx__2123,tt__217,1,1.0
tt__217,cid__length,1.0,1
idx__2123,tt__Lo esencial del rock en tu idioma,1,1.0
tt__Lo esencial del rock en tu idioma,cid__album,1.0,1
idx__2123,tt__8,1,1.0
tt__8,cid__year,1.0,1
idx__2123,tt__Spanish,1,1.0
tt__Spanish,cid__language,1.0,1
