title,length,artist,album,year,language
Mauro Picotto - Underground,319,nan,VIP Lounge (disc 1),nan,English
Underground - VIP Lounge (disc 1),5.333,Mauro Picotto,nan,nan,English
013-Underground,5m 19sec,Mauro,VIP Lounge (disc 1) (unknown),nan,Eng.
004-Der el Machiavelli (live),3m 59sec,DAF / DOS,Der DAF/DOS Live Staat (1999),nan,Ger.
A tua presença morena,125000,Maria Bethnia,Canta Caetano,nan,nan
Walking on Air - Chillin',4.283,Force MD's,nan,'86,English
Willie Nelson - Georgia on my mind (1978),261,nan,Collections,nan,nan
009-She Don't Care About Time,3m 10sec,GoldenRoughfeat.JoePernice,Slippery Slope (2 003),nan,Eng.
She Don't Care About Time S(lippery Slope),03:10,Golden Rough feat. Joe Pernice,Slippery Slope,2003,nan
She Don't Care About Time,190933,Golden Rough feat. Joe Pernice,Slippery Slope,2003,English
Sigonella - Ho sognato una strada,3.62,Ivano  Fossati,nan,'06,Italian
Ivano Fossati - Sigonella,217,nan,Ho sognato una strada,6,Ialian
010-mSigonella,3m 37sec,Ivano Fossati,Ho sognato una strada (2006),nan,Ita.
Love Songs (demo mix),142746,Chocolate City,X-Mix  Volume 9: Transmission From Deep Space Radio,1997,English
Love Love Songs (demo mix) (X-Mix  Volume 9: Transmission From Deep Space Radio),02:22,Chocolate City,X-Mix  Volume 9: Tarnsmission From Deep Space Radio,1997,nan
004-Love Songs (demo mix),2m 22sec,Chocolate City,X-Mix  Volume 9: Transmission From Deep Space Radio (1997),nan,Eng.
Love Songs (demo mix) - X-Mix  Volume 9: Transmission From Deep Space Radio,2.379,Chocolate City,nan,'97,English
Chocolate City - Love Songs (demo mix),142,nan,X-Mix  Volume 9: Transmission From Deep Space Radio,97,English
Praise Choir and Orchestra (Majestic Praise) - Medley: Your Are Crowned With Many Crowns / In Him WeLive / We Bring the Sacrifice of Praise,282,nan,Giive Him Glory,nan,nan
Medley: Your Are Crowned With Many Crowns / In Him WeLive / We Bring the Sacrifice of Praise - Give Him Glory,4.706,Praise Choir and Orchestra (Majestic Praise),nan,nan,nan
008-Papering the Cracks,4m 56sec,Tokyo Blade,Burning Down Paradise (1995),nan,Eng.
Papering the Cracks - Burning Down Paradise,4.933,Tokyo Blade,nan,'95,Egnlish
Papering the Cracks (Burning Down Paradise),04:56,Tokyo Blade,Burning Down Paradise,1995,nan
Papering the Cracks,296000,Tokyo Blade,Burning Down Paradise,1995,English
Tokyo Blade - Papering the Cracks,296,nan,Burning Down Paradise,95,English
Theme to the Last Puma,335840,Ian Simmonds,Transatlantik Lounging,1999,English
Theme to the Last Puma (Transatlantik Lounging),05:35,Ian Simmonds,Transatlantik Lounging,1999,nan
K’s Choice - Little Man,235,nan,Not an Addict,nan,English
003-Little Man,3m 55sec,Ks Choice,(unknown),nan,Eng.
Little Man - Not an Addict,3.917,K’s Choice,nan,nan,English
Ich werde sein - Licht und Schatten,3.593,Fuckin' Faces,nan,'97,German
Cheap Trick - California Man,nan,nan,The Palladium & The BottomLine,nan,English
003-Tape Speeds,4m 6sec,Beppu,Output (2009),nan,Eng.
Tape Speeds - Output,4.1,Beppu,nan,'09,English
Beppu - Tape Speeds,246,nan,Output,9,English
Tape Speeds,246000,Beppu,Odutput,2009,English
Tape Speeds (Output),04:06,Beppu,Output,2009,nan
Sigurd Hoel narrated by Mona Jacobsen - Spor 9,223,nan,Veien til verdens ende,5,Norwegian
A Deep Dive,420266,Nordlight,Shanti Lounge,2010,English
Man vs. vrouw,181000,Hansen Tomas,Stad & land,2008,Dutch
006-Man vs. vrouw,3m 1sec,Hansen Tomas,Stad & land (2008),nan,Dut.
Hansen Tomas - Man vs. vrouw,181,nan,Stad & land,8,Dutch
Man vs. vrouw (tSad & land),03:01,Hansen Tomas,Stad & land,2008,nan
WEDDING DRESS ENGLISH VERSION,nan,nan,SPECIAL FINAL IN DOME MEMORIAL COLLECTION,2012,[Multiple languages]
SOL - WEDDING DRESS ENGLISH VERSION,nan,nan,SPECIAL FINAL IN DOME MEMORIAL COLLECTION,12,[Multiple languages]
WEDDING DRESS ENGLISH VERSION (SPECIAL FINAL IN DOME MEMORIAL COLECTION),00:00,SOL,SPECIAL FINAL IN DOME MEMORIAL COLLECTION,2012,nan
WEDDING DRESS ENGLISH VERSION - SPECIAL FINAL IN DOME M EMORIAL COLLECTION,nan,SOL,nan,'12,[Multiple languages]
John Henry,197000,Josh White,From New York to London,nan,English
Josh White - John Henry,nan,nan,From New York to London,nan,English
John Henry (From New York to London),03:17,Josh White,From New York to London,nan,nan
011-Prelude E-Minor,0m 35sec,Anti Cimex,Absolut Country of Sweden (1990),nan,Eng.
Prelude E-Minor,35706,Anti Cimex,Absolut Country of Sweden,1990,English
When With You (radio edit),223000,Tomas Heredia,When I'm With You / Alchemist,2013,English
When I'm With You (radio edit) (When I'm With You / Alchemist),03:43,Tomas Heredia,When I'm With You / Alchemist,2013,nan
Tomas Heredia - When I'm With You (radio edit),223,nan,When I'm With You / Alchemist,13,English
Mixolydian Ten Bar Blues - Dead Man Rotting,1.262,Profanation,nan,'01,English
010-Mixolydian Ten Bar Blues,1m 15sec, Profanation,DGead Man Rotting (2001),nan,Eng.
Mixolydian Ten Bar Blues (Dead Man Rotting),01:15,Profanation,Dead Man Rotting,2001,nan
Mixolydian Ten Bar Blues,75733,Profanation,Dead Man Rotting,2001,English
Un marin c'est bien - Aux vents solitaires,1.973,Hugues Aufray,nan,'01,French
Inhuman,338000,Carnivora,Perverted Dreamrealization,nan,English
Inhuman (PervertedDreamrealization),05:38,Carnivora,Perverted Dreamrealization,nan,WoM8571543
Carnivora - Inhuman,33 8,nan,Perverted Dreamrealization,nan,English
China Grove (Country  Soul & Rock-N-Roll),03:16,Cook & Glenn,Country  Soul & Rock-N-Roll,2006,nan
China Grove - Countr y  Soul & Rock-N-Roll,3.269,Cook & Glenn,nan,'06,nEglsh
China Grove,196133,Cook & Glenn,Country  Soul & Rock-N-Roll,2006,English
009-China Grove,3m 16sec,Cook & Glenn,Country  Soul & Rock-N-Roll (2006),nan,Eng.
Ami O (Women of Afric)a,06:58,Bébé Manga,Women of Africa,2001,nan
John Beckenham & Steve Wickford - Alkmaar (version 1),142,nan,European Travel,nan,English
Араатан - Made in Altan Urag,4.033,Altan Urag,nan,'06,Mongolian
009-,4m 2sec,Altan Urag,Made in Altan Urag (2006),nan,Mon.
002-,3m 9sec,Pizzicato Five,A Message Song (1996),nan,Jap.
銀ちゃんのラブレター (A Message Song),03:09,Pizzicato Five,A Message Song,1996,nan
銀ちゃんのラブレター,189000,Pizzicato Five,A Message Song,1996,Japanese
Pizzicato Five - 銀ちゃんのラブレター,189,nan,A Message Song,96,Japanese
Ann Christy - De roos,236,nan,100 Op 1: De Beste Belgen,6,[Multiple languages]
De roos - 100 Op 1: De Beste Belgen,3.936,An nChristy,nan,'06,[Multiple languages]
God and Satan,189613,Biffy Clyro,Revolutions: Live at Wembley,2011,English
God and Satan (Revolutions: Live at Wembley),03:09,Biffy Clyro,Revolutions: Live at Wembley,2011,nan
Biffy Clyro - God and Satan,189,nan,Revolutions: Live at Wembley,11,English
God and Satan - Revolutions: Live at Wembley,3.16,Biffy Clyro,nan,'11,English
Right_There_Now,304626,Jude Cole,Start the  Car,nan,English
Файна Юкрайна (Golden Hits. Vol. 1),04:25,Тано на майдані Конґо,Golden Hits. Vol. 1,2007,nan
004-Mother Forest,unknown,Wotan,Epo s(unknown),nan,Eng.
Mother Forest - Epos,nan,Wotan,nan,nan,English
Wotan - Mother Forest,nan,nan,Epos,nan,English
Mother Forest (Epos),00:00,Wotan,Epos,nan,nan
Mother Forest,nan,Wotan,Epos,nan,English
Love Me,237893,The Queers,A Day Late and a Dollar Short,1996,English
005-Concerto Grosso in D major  Op. 6 No. 1: V. Largo,2m 55sec,Arcangelo Corelli,12 Concerti grossi  Op. 6 (1999),nan,Eng.
007-Good Morning Blues,4m 50sec,Abi Walleenstein,Bluesculture in concert (2009),nan,Eng.
Good Morning Blues (BluescuWlture in concert),04:50,Abi Wallenstein,Bluesculture in concert,2009,nan
Good Morning Blues,290733,Abi Wallenstein,Bluesculture in concert,2009,English
Gitme Durnam - Gurbeti Ben mi Yarattım,4.167,Arif Sağ,nan,'98,Turkish
Arif SaCğ - Gitme Durnam,250,nan,Gurbeti Ben mi Yarattım,98,Turkish
006-Gitme Durnam,4m 10sec,Arif Sag,Gurbeti Ben mi Yarattm (1998),nan,Tur.
008-Juliette's Window,2m 47sec,Black Print,Quincy Shanks Sampler #5 (unknown),nan,Eng.
Juliette's Window,167373,Black Print,Quincy Shanks Samplre #5,nan,English
Cosmonauts (Cosmonauts ​/​ Marauders),06:00,Axxiorn,Cosmonauts ​/​ Marauders,2012,nan
007-Pover,2m 28sec,Kreng,Zomer EP (2008),nan,unknown
Pover,148000,Kren,Zomer EP,2008,[Multiple languages]
True Love - Love Songs,3.543,Elton ohn feat. Kiki Dee,nan,'95,Englih
Call Your Mummy / Opened and Closed,258000,Paul Glass,L. in a cage,2022,English
Paul-Glass---Call-Your-Mummy-/-Opened-and-Closed,258,nan,Lady in a Cage,12,English
Call Your Mummy / Opened and Closed (Lady in a Cage),04:18,Paul Glass,Lady in a Cage,2012,nan
Love on tthe Vine (King Biscuit Flower Hour),02:55,America,King Biscuit Flower Hour,1996,nan
Who You With,246000,Katchafire,Best So Far,nan,English
Julie Andrews - On a Clear Day,217,nan,At Her Very Best,6,E.
Kettös jártatója es sirüleje (Élő zene - Live music),10:57,Tatros,Élő zene - Live music,nan,nan
009-'Round Midnight,3m 49sec,Chris Connor,Chris in Person / Sings George Gershwin (1986),nan,Eng.
Birdhouse in YourB Soul,183000,They Might Be  Giants,2004-07-18: Trees Lounge  Dallas  TX  USA,2004,English
Birdhouse in Your Soul - 2004-07-18: Trees Lounge  Dallas  TX  USA,3.05,They Might Be GianOts,nan,'04,English
022-Birdhouse in Your Soul,3m 3sec,They Mighot Be Giants,2004-07-1: Trees Lounge  Dallas  TX  USA,2004,Eng.
Miklós Rózsa - Agony in the Garden / Judas' Kiss,249,nan,King of Kings,2,English
Agony in the Garden / Judas' Kiss - King of Kings,4.151,Miklós Rózsa,nan,'02,English
008-Agony in the Garden / Judas' Kiss,4m 9sec,Miklos Rozsa,King of Kings (z002),nan,Eng.
Celia Cruz - Cumbanchero (Rumba),180,nan,Afro-Cubana,nan,Spanish
The Go‐Go’s - Kissig Asphalt,169,nan,God Bless the Go-Go's,2,English
Kissing Asphalt - God Blses the Go-Go's,2.826,Go‐Go’s,Kissing Asphalt - God Bless the Go-Go's,'02,English
Lone Catalysts - One We Miss,297,nan,Juice  Volume 58,5,[Multiple languages]
One We Miss,208000,LTone Catalysts,Juice  Volume 58,2005,[Multiple languages]
One We Miss - Juice  Volume 58,4.95,Lone Catalysts,nan,'05,[Multiple languages]
010-One We Miss,4m 57sec,Lone Catalysts,Juice   Volume 58 (2005),nan,unknown
What Kind of Fool,247040,Barbra Streisand & Barry Gibb,A Collection: Greatest Hits... and More,1989,English
Tramvaje - Best Of,3.35,Kryštof,nan,'07,English
008-Tramvaje,3m 21sec,Krystof,Best Of (2007),nan,Eng.
015-Sacrificium: Offerte Domino,1m 36sec,[religious music],Spiritus Les chants de l'ame (unknown),nan,unknown
Sacrificium: Offerte Domino,96360,[religious music],Spiritus Les chants de l'ame,nan,[Multiple languages]
Sacrificium: Offerte Domino (Spiritus Les chants de l'ame),01:36,[religious music],Spiritus Les chants de l'ame,nan,nan
[religious music] -b Sacrificium: Offerte Domino,96,nan,Spiritus Les chants de l'ame,nan,[Multiple languages]
Sacrificium: Offerte Domino - Spiritus Les chants de l'ame,1.606,[religious music],nan,nan,[Multiple languages]
Darling Be Home Soon,604760,Tedeschi Trucks Band,Everybody's Talkin',2012,English
007-Darling Be Home Soon,10m 4sec,Tedeschi Trucks Band,Everybody's Talkin' (2012),nan,Eng.
Darling Be Home Soon - Everybody's Talkin',10.079,Tedeschi Trucks Band,nan,'12,English
Tedeschi Trucks Band - Darling Be Home Soon,604,nan,Everybody's Talkin',12,English
Darling Be Home Soon (Everybody's Talkin'),10:04,Tedeschi Trucks Band,Everybody's Talkin',2012,nan
Simple Song,201706,Plone,Plock,1998,English
Simple Song (Plock),03:21,Plone,Plock,1998,nan
Ocean of Emotion (Munsta Music club mix) (Ocean of Emotion (The Mixes)),07:59,DJ Session One,Ocean of Emotion (The Mixes),2001,nan
DJ Session One - Ocean of Emotion (Munsta Music club mix),479,nan,Ocean of Emotion (The Mixes),1,Englis
009-I'm Not a Fucking Drag Queen (edited film version),3m 11sec,Peter Outerbridge,Better Than Chocolate (1999),nan,Eng.
Scatman's World (All Night Disco),00:00,Scatman John,All Night Disco,2007,nan
Scatman's World,nan,Scatman John,All Night Disco,2007,English
Appleblim - Mystikal Warrior,nan,nan,Mystkal Warrior / I Am Animal,5,English
Mystikal Warrior (Mystikal Warrior / I Am Animal),00:00,Appleblim,Mystikal Warrior / I Am Animal,2005,nan
Peein' Red - Say Fuck No to Rules  Man,nan,Get Rad,nan,nan,English
012-Peein' Red,unknown,Get Rad,Say Fuck No to Rules  Man (unknown),nan,Eng.
Wishing the World Away - Home Recording Made Easy,2.95,Rhyn,nan,'05,English
Wishing the World AwaZy,2m 57sec,Rhyn,Home Recording Made Easy (2005),nan,Eng.
003-Mr. Scrapper's Blues,2m 51sec,Scrapper Blackwell,Complete Recorded Works in Chronological Order  Volume 1: 19281932 (1992),nan,Eng.
Mr. Scrapper's Blues,171000,Scrapper Blackwell,Complete Recorded Works in Chronological Order  Volume 1: 1928–1932,1992,English
Винные мемуары (Клубника со льдом или Любовь до гроба),02:51,Крематорий,Клубника со льдом или Любовь до гроба,2095,nan
[unknown] - Dreifach,2.8,Ken Follett,nan,'08,German
Stop Violence! -B.L.T. Re Production-,90560,Togo Project,beatmania 7th Mix OriYBginal Soundtrack,2002,Japanese
Stop Violence! -B.L.T. Re Production- (beatmania 7th Mix Original Soundtrack),01:30,Togo Project,beatmania 7th Mix Original Soundtrack,2002,nan
Stark,256026,VLE,Book of Illusions: Chapter I & II,2001,Eng lish
Stark - Book of Illusions: Chapter I & II,4.234,VLE,nan,'01,English
007-Stark,4m 14sec,VLE,Book of Illusions: Chapter I & II (2001),nan,Eng.
Stark,04:14,VLE,Book of Illusions: Chapter I & II,2001,nan
The Girl from Ipanema (Romantic Paradise),02:38,André Rieu,Romantic Paradise,2003,nan
007-[bass solo],5m 8sec,Metallica,1989-04-14: Battle Creek  MI  USA (unknown),nan,Eng.
VeggieTales - The Ballad of Jonah (Gilligan's Island Theme) (split),108,nan,Pirates' Boat Load Of Fun,2,English
The Ballad of Jonah (Gilligan's Island Theme) (split) - Pirates' Boat Load Of Fun,1.801,VeggieTales,nan,'02,English
024-The Ballad of Jonah (Gilligan's Island Theme) (split),1m 48sec,VeggieTales,Pirates' Boat Load Of Fun (2002),nan,Eng.
I Ask for Water,294000,Blues Goblins,Blues Goblins,2003,English
009-Praca na saxach,3m 10sec,Wojciech,Koledzy (2007),nan,Pol.
Praca na saxach,190160,Wojciech Waglewski & Maciej Maleńczuk,Koledzy,2007,Polish
The Williams Brothers - White Christmas,162,nan,The Williams Brothers Christmas Album,nan,English
White Christmas - The Williams Brothers Christmas Album,2.701,William sBrothers,nan,nan,English
006-White Christmas,2m 42sec,The Williams Brothers,The William sBrothers Christmas Album (unknown),nan,Eng.
Scummy (Demo),00:00,Arctic Monkeys,Demo,2004,nan
010-Just Because,2m 12sec,Lil' Bit & The Customatics,Headin' On (2004),nan,Eng.
Just Bceause,132000,Lil' Bit & The Customatics,Headin' n,2004,English
004-Snow,5m 4sec,Loreena McKennitt,A Winter Gaden: Five Songs for the Season (2007),nan,Eng.
Snow,304466,Loreena McKennitt,A Winter Garden: Five Songs for the Season,2007,English
Snow (A Winter Garden: Five Songs for the Season),05:04,Loreena McKennitt,A Winter Garden: Five Songs for the Season,2007,nan
Latva bee - Kuningas,2.692,Clifters,nan,'87,Finnish
Latva bee (Kuningas),02:41,Clifters,Kuningas,1987,nan
Clifters - Latva bee,161,nan,Kuningas,87,Finnish
Masterplan - Damage Case,2.842,Motörhead,nan,'06,English
016-Masterplan,2m 50sec,Motorhead,Damage Case (2006),nan,Eng.
005-Suite fur Violoncello Nr. 2 in d-Moll  Op. 131c: Gavotte: Allegretto,5m 3sec,Max Reger,Die Klassiksammlung 91: Reger: Spatromantische Kammermusik (1996),nan,Ger.
Suite für Violoncello Nr. 2 in d-Moll  Op. 131c: Gavotte: Allegretto,303800,Max Reger,Die Klassiksammlung 91: Reger: Spätromantische Kammermusik,1996,German
Lunatic Gate,04:29,Janne Da Arc,Lunatic Gate,nan,nan
Janne Da Arc - Lunatic Gate,269,nan,Lunatic Gate,nan,nan
Irish Setter,437000,John Fahey,The Yellow Princess,2006,English
008-Irish Setter,7m 17sec,John Fahey,The Yellow Princess (2006),nan,Eng.
Switchback (Klayton Revision) (Instrumental) - Celldweller Remix EP (Switchback / Own Little World),6.783,Celldweller,nan,'06,English
003-Switchback (Klayton Revision) (Instrumental),6m 47sec,Celldweller,Celldweller Remix EP (Switchback / Own Little World) (2006),nan,Eng.
If That's Your Boyfriend (Everybody Needs Somebody),03:25,Me’Shell NdegéOcello,Everybody Needs Somebody,1994,nan
Missa Syllabica: IV. Sanctus,58400,AArvo Pärt,Kronos Quartet: 25 Years,1998,[Multiple languages]
Woodchoppers Breakdown,149000,Don Messer & His New Brunswick Lumberjacks,20th Century Masters: The Millennium Collection: The Best of Don Messer,2005,English
Joshua Fit the Battle of Jericho (Hard Time Blues),02:35,Josh White,Hard Time Blues,2000,nan
I'm Sorry - The Ultimate Country Collection,2.677,Brenda Lee,nan,nan,English
021-Sahara And Dax / Taps,2m 11sec,John Morgan and William Stromberg,Starship Troopers 2: Hero of the Federation (2004),nan,Eng.
Meu eu em você,217000,Paula Fernandes,Ao vivo,2011,Portuguese
Meu eu em você (Ao vivo),03:37,Paula Fernandes,Ao vivo,2011,nan
Kameleony żony - Reda nocą,3.728,Oddział Zamknięty,nan,'01,Polish
008-Kameleony zony,3m 43sec,Oddzia Zamkniety,Reda noca (2001),nan,Pol.
Gallery - Nice to Be You,160,nan,Sounds of the Seventies: AM Pop Classics,93,English
We Three Kings of Orient Are - 25 Songs of Christmas,2.572,Phil Keaggy,nan,'89,English
Tyler's Song,2m 51sec,Coal Chamber,Scream 3 (2000),nan,Eng.
Crawdad Hole - A Much Better Reality,3.517,Medicine Crow,nan,'06,English
005-Crawdad Hole,3m 31sec,Medicine Crow,A Much Better Reality (2006),nan,Eng.
Business as Usual (Dark Days in Paradise),17:11,Gary Moore,Dark Days in Paradise,2003,nan
024-If I Had a Boat,2m 27sec,[unknown],Best of Silly Song Parade (unknown),nan,Eng.
010-Junkyard,4m 2sec,The Rhombu,Margins (2005),nan,Eng.
003-Karu,2m 34sec,Alkymia,Alkymia (unknown),nan,unknown
Karu - Alkymia,2.582,Alkymia,nan,nan,nan
Karu,154920,Alkymia,Alkymia,nan,nan
Most Gentlemen Don't Like Love - Most Gentlemen Don't Like Love / My Heart Belongs to Daddy,2.383,Eddy Duchin & His Orchestra,nan,'38,English
001-Most_Gentlemen_Don't_Like_Love,2m 23sec,Eddy Duchin & His Orchestra,Most Gentlemen Don't Like Love / My Heart Belongs to Daddy (1938),nan,Eng.
Little Rabbit - Hootenanny,2.774,David Grier,nan,nan,ENGLISH
015-I'm Walking,2m 16sec,Fats Domino,16 Greatest Hits (1988),nan,Eng.
The Heath Brothers - Passion Flower,326,nan,In Motion,79,nan
005-Passion Flower,5m 26sec,The Heath Brothers,In Motion (1979),nan,Eng.
aPssion Flower l- In Motion,5.433,Heath Brothers,nan,'79,English
Passion Flower,326000,The Heath Brothers,In Motion,1979,EEnglish
(Alternative,03:07,David Bowie,Alternative Biography,nan,nan
DARK DARK SKY (FEBRUARY & HEAVENLY),03:59,Tommy heavenly⁶,FEBRUARY & HEAVENLY,2012,nan
Heartaches,130000,Patsy Cline,All-Time Greatest Hits,1996,English
Heartaches (All-Time Greatest Hits),02:10,Patsy Cline,All-Time Greatest Hits,1996,nan
Act 3: Scene 2: The Commune de Paris - The Collection,2.72,Roger Waters,nan,nan,English
Doin' Time - Below the Belt,4.339,TKO,nan,nan,nan
001-Introduction,1m 15sec,World Standard,Country Gazette (1997),nan,Eng.
Introduction,75226,World Standard,Country Gazette,1997,English
Samurai (Did You Ever Dream),312000,Michael Cretu,Modern 80's: The Best of Discopop  Volume 2,1999,English
Samurai (Did You Ever Dream) (Modern 80's: The Best of Discopop  Volume 2),05:12,Michael Cretu,Modern 80's: The Best of Discopop Volume 2,1999,nan
Michael Cretu - Samurai (Did You Ever Dream),312,nan,Modern 80's: The Best of Discopop  Volume 2,99,English
Hank Snow - One More Ride,127,nan,A Proper Introduction To Hank Snow:I'm Movin' On,4,English
Bubble (Dutty Rock),03:47,Sean Paul feat. Fahrenheit,Dutty Rock,nan,nan
Toolkit (Wrap),01:10,Apes of Wrath,Wrap,nan,nan
Apes of Wrath - Toolkit,70,nan,Wrap,nan,nan
001-Music for a while,4m 1sec,Henry Purcell,"hmGold ""Les Tresors (The Treasures)"" (2009)",nan,Eng.
Music for a while,241000,Henry Purcell,"hmGold ""Les Trésors (The Treasures)""",2009,English
Mirrors (Giant Cuts  Volume 3),05:45,Deadly Sins,Giant Cuts  Volume 3,2010,nan
Back O'Town Blues - The Collection,3.28,Louis Armstrong,nan,'06,English
Don't Crash the Car Tonight,203293,Mary’s Danish,There Goes the Wondertruck...,1989,Englihs
005- ,5m 57sec, ,-1993,nan,Rus.
019-Der schwarze Stein (08/11),4m 35sec,H. P. Lovecraft,Der Cthulhu Mythos (2002),nan,GGer.
Der schwarze Stein (08/11),275960,H. P. Lovecraft,Der Cthulhu Mythos,2002,German
Triptonite (Playa mix),466000,Etnica,Macao Cafe,2001,Englizsh
Etnica - Triptonite (Playa mix),466,nan,Macao Cafe,1,English
Triptonite (Playa mix) (Macao Cafe),07:46,Etnica,Macao Cafe,2001,nan
How Deep Is the Ocean - I Was Born Ruth Lee Jones  But I Am Singing As Dinah,3.033,Dinah Washhington,nan,'08,English
All That Is My Own,298666,Nico,Desertshore,1970,[Multiple languages]
100 Miles and Runnin’ - Greatest Hitz,4.483,N.W.A,nan,'07,English
100 Miles and Runnin’,269000,N.W.A,Greatest Hitz,2007,English
011-100 Miles and Runnin,4m 29sec,N.W.A,Greatest Hitz (2007),nan,Eng.
007-Rock Love,2m 25sec,Teresa Brewer,Teenage Dance Party (1989),nan,Eng.
nan,302073,Brody Dalle,Diploid Lve,2014,English
Brody Dalle - Meet the Foetus / Oh the Joy,302,nan,Daiploid Love,14,English
Meet the Foetus / Oh the Joy (Diploid Love),05:02,Brody Dalle,Diploid Love,2014,nan
Greener With the Scenery,217640,The Used,The Used,2002,English
Intro,17320,Jazz on the Latin Side Allstars,Jazz on the Latin Side  Volume 2,2000,English
Cloned #1 (4),5.317,Lassigue Bendthaus,C loned,'94,English
Hot  Science,3.5,Beth In Battle Mode,Hot Science,'09,English
Ik wou dat je een vreemde was - Jouw leven lang bij mij,3.634,Acda en De Munnik,nan,'09,Dutch
007-Ik wou dat je een vreemde was,3m 38sec,Acda en De Munnik,Jouw leven lang bij mij (2009),nan,uDt.
The Pass Loning,356580, Stormzone,Three Kings,nan,nan
The Pass Loning (Three Kings),05:56,Stormzone,Three Kings,nan,nan
008-The Pass Loning,5m 56sec,Stormzone,Three ings (unknown),nan,unk.
The Pass Loning - Three Kings,5.941,nan,nan,nan,nan
Stormzone -- The Pass Loning,356,nan,Three Kings,nan,nan
Éirigh Suas a Stóirín - The Winds Begin to Sing,3.454,Karan Casey,nan,'01,English
Éirigh Suas a Stóirín,207213,Karan Casey,The Winds Begin to Sing,2001,English
Karan Casey - Éirigh Suas  aStóirín,207,nan,The Winds Begin to Sing,1,English
Éirigh Suas a Stóirín (The Winds Begin to Sing),03:27,Karan Casey,The Winds Begin to Sing,2001,nan
49 Special - (There Ain't Nothing Like a) Honky Tonk Song,170,nan,Trails of Evil,nan,English
Matt Hill & Manickam Yogeswaran - Al-Kindi (full mix),214,nan,World  Dance  Indian,2,English
Surge Line (Longlong),175066,positive MA,beatmania: The Best Prominent,2003,English
Alkehol - Hospodo nalejvej,204,nan,Pili jsme a budem,9,Czech
Klubbkamrater,222040,Traste Lindéns Kvintett,Komsi komsi,1991,S weddish
002-A Tale of Slaughtering,3m 11sec,Milking the Goatmachine,Back,nan,ENG.
A Tale of Slaughtering - Back From The Goats... A GoatEborg Fairy Tale,3.183,Milking the Goatmachine,nan,'09,English
A Tale of Slaughtering,191000,Milking thee Goatmachine,Back From The Goats... A GoatEborg Fairy Tale,2009,English
Muffled Shine - Mass Death Creating,236,nan,Serial God,10,English
Yipuxia - Killer Cars,108,nan,What If Radiohead Were Dog?: The Atease Tribute to Radiohead  Volume 2,5,English
Splinters - A Night in the Arms of Venus,7.267,Cherry Choke,nan,'11,English
Gerard van Maasakkers - Het liedeken van Rozemarijn,328,nan,3 favourieteLP's op 2 CD's,3,Dutch
Het liedeken van Rozemarijn - 3 favouriete LP's op 2 CD's,5.482,Gerard van Maasakkers,nan,'03,Dutch
Skill Factor,5000,Chris Goulstone,Prom os 3: Rock Attack,nan,English
Crests - Sixteen Candles,nan,nan,Jerry Williams väljer århundradets rocklåtar  Volume 2,1,English
Foreplay,497666,Larry Coryell,Offering,1972,English
Illuminator (L.A. Money Train) (Get Some Go Again),14:13,Rollins Band,Get Some Go Again,2000,nan
Winterreise,6.067,Atom™,Winterreise,'12,German
Winterreise,353000,Atmo™,Winterreise,2012,German
001-Winterreise,6m 4sec,Atom,(2012) Winterreise,nan,Ger.
Walter Beasley - I Would Never Go,294,nan,Just Kickin' It,89,English
I Would Never Go (Just Kickin' It),04:54,Walter Beasley,Just Kickin' It,1989,nan
Fisc - Live It Up,254,nan,Handle With Care,88,English
Frank Sinatra - I'll String Along With You,106,nan,I'm in the Mood for Love,95,English
008-I'll String Along With You,1m 46sec,Frank Sinatra,I'm in the Mood for Love (1995),nan,Eng.
I'll String Along With You - I'm in the Mood for Love,1.771,Frank Sinatra,nan,'95,English
Concertina,nan,Tori Amos,2009-09-17: Heineken Music Hall  Amsterdam  Netherlands,nan,English
003-Beso gitano,5m 15sec,La Misma Gente,Lo Mejor (1997),nan,Spa.
Take the A Train (3 of 5) (The Norton Recordings 10th Edition  Volume 2: Schubert to the Present),00:52,Duke Ellington & Billy Strayhorn,TheNortonRecordings10thEdition Volume2:SchuberttothePresent,2007,nan
Il était une fois l'espace (Anthology),02:49,Michel Legrand,Anthology,2013,nan
Heil: Pink Flesh (Human Garbage Assembly Line),03:44,Carella Ross,Human Garbage Assembly Line,2011,nan
Arts the Beatdoctor - Crazy Times (feat. Skiggy Rapz),257,nan,Fragments_EP,6,English
Reflections on Blue (Iridescence: Sequencer Sketches  Voluume 2),06:11,RudyAdrian,Iridescence: Sequencer Sketches  Volume 2,2001,nan
nan,371,nan,Iridescence: Sequencer Sketches  Volume 2,3,English
003-Xanandra,4m 23sec,Mago de Oz,Hechizos  pocimas y brujeria (2012),nan,SRpa.
Voce E Notte (I successissimi),03:51,Peppino di Capri,I successissimi,nan,nan
Voce E Notte,231466,Peppino di Capri,I successissimi,nan,nan
Magic Arm - Six Cold Feet of Ground,nan,nan,Make Lists Do ySomething,9,English
Six Cold Feet of Ground - Make Lists Do Something,nan,Magic Arm,nan,'09,English
"Ringing of the Bell Tower - Are You a Dreamer? + ""Your Friend""",4.912,Denison Witmer,nan,nan,English
"Ringing of the Bell Tower (Are You a Dreamer? + ""Your Friend"")",04:54,Denison Witmer,"Are You a Dreamer? + ""Your Friend""",nan,nan
