TID,CID,CTID,SourceID,id,number,title,length,artist,album,year,language
1955,1040,1,5,12438705,64,Authoritarian response,144000,M. Whitwell,Project Echo,2010,English
2001,1040,3,2,MBox33618120-HH,64,M. Whitwell - Authoritarian response,144,,Project Echo,10,English
11024,1040,2,1,WoM24877 421,64,Authoritarian response (Project Echo),02:24,M. Wehitwell,Project Echo,2010,
1244,1042,3,1,WoM12605842,9,"Right on Track (Ulli Wengers One Hit Wonder, Volume 5)",04:16,Breakfast Club,"Ulli Wengers One Hit Wonder, Volume 5",2003,
1960,1042,1,4,88774-A05,0,009-Right on Track,4m 16sec,,"Ulli Wengers One Hit Wonder, Vol. V (2003)",,En.
4334,1042,2,5,6302926,9,Right on Track,256000,B. Club,"Ulli Wengers One Hit Wonder, Volume 5",2003,English
1967,1044,1,4,86750-A061,7,007-Chases,2m 13sec,mclusky,"2002-10-29: The Boat Club, Nottingham, UK (unknown)",,Eng.
4393,1044,3,1,unk.,7,"Chases (2002-10-29: The Boat Club, Nottingham, UK)",02:13,mclusky,"2002-10-29: The Boat Club, Nottingham, UK",,
8302,1044,2,5,6159278,7,Chases,133000,mclusky,"2002-10-29: The Boat Club, Nottingham, UK",,English
12578,1044,4,2,MBox16646711-HH,7,mclusky - Chases,133,,"2002-10-29: The Boat Club, Nottingham, UK",,English
16711,1044,5,3,2677950MB-01,7,"Chases - 2002-10-29: The Boat Club, Nottingham, UK",2.217,mclusky,,,English
1968,1045,1,2,MBox2020244-HH,13,Louis Armstrong - What a Wonderful World,140,,Remembering the '60s,,English
4833,1045,5,1,WoM14949746,13,What a Wonderful World (Remembering the '60s),02:20,Louis Armstrong,Remembering the '60s,1987,
13793,1045,2,3,3249952MB-01,13,What a Wonderful World - Remembering the '60s,2.333,Louis Armstrong,,'87,English
13895,1045,3,4,105280-A033,13,013-What a Wonderful World,2m 20sec,Louis Armstrong,Remembering the '60s (1987),,Eng.
18422,1045,4,5,7474880,13,What a Wonderful World,140000,Louis Armstrong,Remembering the '60s,1987,English
1976,1048,1,3,7139988MB-01,1,'til You're Numb (radio edit),3.967,LAB,'til You're Numb,'99,English
3856,1048,3,5,16421955,1,'til You're Numb (radio edit),238000,LAB,'til You're Numb,1999,English
16123,1048,2,4,231295-A043,1,001-'til You're Numb (radio edit),3m 58sec,LAB,'til You're Numb (1999),,Eng.
1982,1051,1,3,5341074MB-01,3,Fiuio - 17 Pine Avenue,5.949,New Riders of the Purple Sage,,,English
8631,1051,5,2,MBox33201226-HH,3,n.a.,356,,17 Pine Avenue,,English
10211,1051,2,4,173021-A00,3,003-Fiuio,5m 56sec,New Riders of the Purple Sage,17 Pine Avenue (unknown),,Eng.
12657,1051,3,5,12284458,3,Fimuio,356933,New Riders of the Purple Sage,17 Pine Avenue,,English
14551,1051,4,1,WoM24568924,3,Fiuio (17 Pine Avenue),05:56,New Riders of the Pburple Sage,17 Pine Avenue,,
1988,1053,1,3,22774915MB-01,10,Christmas In Vegas - Christmas Time In Texas,3.133,Dale Watson,,'01,English
6567,1053,2,4,73778-A030,10,010-Christmas In Vegas,3m 8sec,Dale Watson,Christmas Time In Texas (2001),,Eng.
7764,1053,3,5,5238235,10,Christmas In Vegas,188000,Dale Watsson,Christmas Time In Texas,2001,English
1989,1054,1,5,1800490,18,The Girl's Alright With Me,178733,The Temptations,emperors pf Sol,,English
4883,1054,4,3,7828211MB-01,18,The Girl's Alright With Me - Emperors of Soul,2.979,Temptations,,,English
8073,1054,2,1,WoM360106,18,The Girl's Alright With Me (Emperors of Soul),02:58,Temptations,Emperors of Soul,,
17707,1054,3,2,MBox486628-HH,18,The Temptations - The Girl's Alright With Me,178,,Emperors of Soul,,English
535,1055,2,1,WoM2151741,5,A Song Without a Song (Please Save My Earth Image Soundtrack (US Version)),04:46,Czech Phihlharmonic Chamber OrcheCstra,Please Save My Earth Image Soundtrack (US Version),,
1991,1055,1,5,1075875,5,A Song Without a Song,286573,Czech Philharmonic Chamber Orchestra,Please Save My Earth Imagve Soundtrack (US Version),,English
2748,1055,4,3,4677711MB-01,5,A Song Without a Song - Please Save My Earth Image Soundtrack (US Version),4.776,Czech Philharmonic Chamber Orchestra,,,English
12973,1055,3,2,MBox290781-HH,5,Czech Philharmonic Chamber Orchestra - A Song Without a Song,286,,Please Save My Earth Image Soundtrack (US Version),,English
1487,1058,3,2,MBox23553435-HH,4,蔡依林 - 妥協,264,,花蝴蝶,9,Chinese
1998,1058,1,5,8714781,4,妥協,264080,蔡依林,花蝴蝶,2009,Chinese
3549,1058,2,1,WoM17429547,4,妥協 (花蝴蝶),04:24,蔡依林,花蝴蝶,2009,
11048,1058,5,4,122743-A061,4,004-,4m 24sec,,-2009,,Chi.
14045,1058,4,3,37890319MB-01,4,妥協 - 花蝴蝶,4.401,蔡依林,,'09,Chinese
2000,1060,1,2,MBox2793790-HH,5,Marco Minnemann - Hair Off,300,,The Green Mindbomb,98,English
4863,1060,2,3,44943513MB-01,5,Hair The - Off Green Mindbomb,5.003,Marco Minnemann,,'98,Ennglish
6536,1060,3,4,145592-A012,5,005-Hair Off,5m 0sec,Marco Minnemann,The Green Mindbomb (1998),,EnGg.
13511,1060,4,5,10337011,5,Hair Off,300200,Marco Minnemann,The Green Mindbomb,1998,English
2003,1061,1,4,27354-A054,2,002-Space of Clouds,2m 49sec,Eric Johnson,Souvnir (2002),,Eng.
5126,1061,2,5,1942155,2,unknown,169506,Eric Johnson,Souvenir,2002,English
2013,1066,1,5,12783282,7,Mátenme porque me muero,217000,Caifanes,Lo esencial del rock en tu idioma,2008,Spanish
5356,1066,3,2,MBox34549416-HH,7,Caifanes - Mátenme porque me muero,217,,Lo esencial del rock en tu idioma,8,Spanish
6471,1066,4,3,5557954MB-01,7,Mátenme porque me muero - Lo esencial del rock en tu idioma,3.617,Caifanes,,'08,Spanish
7916,1066,2,1,WoM25566548,7,Mátenme porque me muero (Lo esencial del rock en tu idioma),03:37,Caifanes,Lo esencial del rock en tu idioma,2008,
12875,1066,5,4,180046-A049,7,007-Matenme porque me muero,3m 37sec,Caifanes,Lo esencial del rock en tu idioma (2008),,Spa.
2017,1068,1,1,WoM31368514,8,Rasta Army (Volume II),05:26,Wingless Angels,Volume II,2010,
10470,1068,2,2,MBox42389834-HH,8,Wingless Angels - Rasta Army,326,,Volum eII,10,English
14154,1068,3,3,6819243MB-01,8,Rasta Army - Volume II,5.447,Wingless Angels,,,English
2019,1070,1,5,382330,16,The Giirl of My Best Friend,142666,Elvis Presley,yThe Legend Lives On,1987,English
18712,1070,2,1,WoM764646,16,The Girl of My Best Friend (The Legend Lives On),02:22,Elvis Presley,The Legend Lives On,1987,
2021,1071,1,5,1566055,7,Slawischer Tanz nr. 1: Furiant,206226,Antonín Dvořák,Classical Sampler,,
11430,1071,2,1,WoM3132121,7,Slawischer Tanz nr. 1: Furiant (Classical Sampler),03:26,Antonín Dvořák,Classic al Sampler,,
14475,1071,3,2,MBox423265-HH,7,Antonín Dvořák - Slawischer Tanz nr. 1: Furiant,206,,Classical Sampler,,
2029,1073,1,2,MBox23963122-HH,A,Bunny Sigler - Girl Don't Make Me Wait,,,Girl Don't Make Me Wait / Always in the Wrong Place (At the Wrong Time),66,English
5983,1073,2,3,3854942MB-01,A,Girl Don't Make Me Wait - Girl Don't Make Me Wait / Always in the Wrong Place (At the Wrong Time),,Bunny Sigler,,'66,English
2035,1076,1,5,1732572,3,Maddest Kiind of Love,304000,Big Bad Voodo oDaddy,Three to Tango,1999,English
10049,1076,2,1,WoM3465138,3,Maddest Kind of Love (Three to Tango),05:04,Big Bad Voodoo Daddy,Three to Tango,1999,
2036,1077,1,1,WoM1813611,2,Can't Be Messing 'round (Born to Do It),03:53,Craig David,Boorn to Do It,2000,
7349,1077,4,4,12772-A016,2,002-Can't Be Messing 'round,3m 53sec,Craig David,Born to Do It (2000),,Eng.
7564,1077,5,5,906795,2,Can't Be Messing 'round,233000,Craig David,Born to Do It,2000,English
9580,1077,2,2,MBox2450811-HH,2,Craig David - Can't Be Messing 'round,233,,Born to Do It,0,English
14760,1077,3,3,,394264MB-01,2,Can't Be Messing 'round - Born to Do It,3.8n83,Craig David,,'00
2046,1080,1,4,95907-A013,20,020-Guess Who,2m 52sec,Jesse Belvin,The Heart of Rock 'n' Roll: 1958-1959 (1996),,Eng.
6657,1080,4,2,MBox18403720-HH,20,Jesse Belvin - Guess Who,172,,The Heart of Rock 'n' Roll: 1958-1959,96,English
11245,1080,2,5,6809377,20,Guess Who,172000,Jesse Belvin,The Heart of Rock 'n' Roll: 1958-1959,1996,English
15045,1080,3,1,WoM13618743,20,Guess Who (The Heart of Rock 'n' Roll: 1958-1959),02:52,Jesse Belvin,The Heart of Rock 'n' Roll: 1958-1959,1996,
2049,1081,1,3,67450812MB-01,9,"Sonata No. 2 in G minor, Op. 22: I. So rasch wie möglich-Schneller-Noch schneller - Arrau Heritage: Schumann",6.633,Robert Schumann,,'03,French
7097,1081,2,4,218503-A09,9,"009-Sonata No. 2 in G minor, Op. 22: I. So rasch wie moglich-Schneller-Noch schneller",6m 38sec,Robert Schumann,Arrau Heritage: Schumann (2003),,Fre.
42,1085,2,2,MBox14735916-HH,10,CharlyGarcíaNobombardeenBuenosAires,242,,Oro: Grandes éxitos,3,Spanish
2058,1085,1,1,WoM1090463,10,No bombardemen Buenos Aires (Oro: Grandes éxitos),04:02,Charly García,Oro: Grandes éxitos,2092,
8393,1085,3,3,2370566MB-01,10,No bombardeen Buenos Aires - Oro: Grandes éxitos,4.033,Chrly García,,'03,Spanish
14710,1085,4,4,76793-A017,10,010-No bombardeen Buenos Aires,4m 2sec,Charly Garcia,Oro: Grandes exitos (2003),,Spa.
2059,1086,1,5,3856390,4,Zodiac 99,283106,Dr. Olive,First DJo n the Moon,,English
6975,1086,4,3,16766910MB-01,4,Zodiac 99 - First DJ on the Moon,4.718,Dr. Olive,,,English
13841,1086,3,2,MBox1042273-HH,4,Dr. Olive - Zodiac 99,283,,First DJ on the Moon,,English
14433,1086,5,4,54315-A058,4,004-Zodiac 99,4m 43sec,Dr. Olive,First DJ on the Moon (unknown),,Eng.
18628,1086,2,1,WoM771286,4,Zodiac 99 (First DJ on the Moon),04:43,Dr. Olive,First DJ on the Moon,,
2062,1088,1,2,MBox3979221-HH,9,Althea and Donna - Sorry,237,,Uptown Top Ranking,1,English
9345,1088,2,3,6401321MB-01,9,Sorry - Uptown Top Ranking,3.966,Athea and Donna,,'01,English
2064,1089,1,4,61361-A00,2,002-Les Jours tristes (Instrumentalversion),3m 3sec,Yann Tiersen,Die fabelhafte Welt der Amelie (2001),,Fre.
4001,1089,2,5,4356598,2,Les Jours tristes (Instrumentalversion),183466,Yann Tiersen,Die fabelhafteW elt der Amélie,2001,French
2066,1090,1,2,MBox16347425-HH,1,Rufus - Slip 'N Slide,230,,,73,English
5465,1090,2,3,26298018MB-01,1,Slip 'N Slide - Rufus,3.833,Rufus,,'73,English
2069,1092,1,3,25974711MB-01,26,Somewhere Over the Rainbow - Starbucks Songs of the Siren: Her Own Story,3.283,Dee Carstensen,,'00,Englih
15649,1092,2,4,84143-A065,15,015-Somewhere Over the Rainbow,3m 17sec,Dee Carstensen,Starbucks Songs of the Siren: Her Own Story (2000),,Eng.
2070,1093,1,4,56943-A037,3,003-Louisiana Sunset,4m 47sec,Passport,Blues Roots (1991),,Eng.
15796,1093,2,5,4042957,3,Louisiana Sunset,287960,Passpoort,Blues Roots,1991,English
2038,1095,2,4,75536-A023,4,004-Silver Talkin' Spoon,1m 32sec,The Whispertown 2000,Livin' in a Dream (2006),,Eng.
2072,1095,1,3,2331765MB-01,4,Silver Talkin' Spoon - Livin' in a Dream,1.543,Whispertown 2000,,'06,English
7241,1095,4,1,WoM10726112,4,Silver Talkin' Spoon (Livin' in a Dream),01:32,Whispertown 2000,Livinb' in a Dream,2006,
15479,1095,3,5,5363046,4,Silver Talkin' Spoon,92600,The Whispertown 2000,Livin' in a Dream,2006,English
122,1096,2,2,MBox2675712-HH,6,Sacred Spirit - Yane-Heja-Hee,290,,More Chants and Dances of the Native Americans,0,English
2073,1096,1,1,WoM1980025,6,Yane-Heja-Hee (More Chants and Dances of the Native Americans),04:50,Sacred Spirit,More Chants and Dances of the Native Americans,2000,
12312,1096,3,3,430444MB-01,6,Yane-Heja-Hee - More Chants and Dances of the Native Americans,4.838,Sacred Spirit,,'00,English
1928,1098,2,3,8562822MB-01,3,Befred - Short Term Memory Loss,6.394,Iyunx Productions,,'04,English
2076,1098,1,2,MBox5322835-HH,3,Iyunx Productions - Befred,383,,Short Term Memory Loss,4,English
2079,1100,1,3,62344222MB-01,20,"Psalm 130 ""Du fonds de ma pensée"", SwWV 130 - The Complete Psalms",3.08,Jan Pieterszoon Sweelinck,,'12,English
15201,1100,2,4,201960-A054,20,"020-Psalm 130 ""Du fonds de ma pensee"", SwWV 130",3m 4sec,Jan Pieterszoon Sweelinck,The Complete Psalms (2012),,Eng.
2084,1102,1,5,5935926,5,A Fair Affair (Je T'aime),287826,Misty Oldland,More Music 2,,English
5285,1102,2,1,WoM11871842,5,A Fair Affair (Je T'aime) (More Music 2),04:47,Misty Oldland,More Music 2,,
2086,1104,1,5,14100151,7,Arrivals,76000,Silverstein,This Is How the Wind Shifts,2013,English
5629,1104,2,1,WoM28200317,7,Arrivals (This Is How the Wind Shifts),01:16,Silverstein,This Is How the Wind Shifts,2013,
6509,1104,4,3,6130508MB-01,7,Arrivals - This Is How the Wind Shifts,1.267,Silverstein,,'13,English
13057,1104,3,2,MBox38108518-HH,7,Silverstein - Arrivals,76,,This Is How the Wind Shifts,13,Englsih
2094,1107,1,3,4642632MB-01,12,I Don't Need Another Love - The Greatest Hits,4.186,Dionne Warwick,,'09,English
11478,1107,2,4,150395-A032,12,012-I Don't Need Another Love,4m 11sec,Dionne Warwick,The Grreatest Hits (2009),,Eng.
2099,1109,1,3,44167421MB-01,3,Bheegi Bheegi Si - Ek Chalis Ki Last Local,,Ankur Tewari,,'07,Hindi
14537,1109,2,4,143078-A011,3,003-Bheegi Bheegi Si,unknown,Ankur Tewari,Ek Chalis Ki Last Local (2007),,Hin.
2104,1110,1,5,724289,1,Born Under a Bad Sign,209333,Etta James,"Life, Love & The Blues",1998,English
10888,1110,3,2,MBox1957526-HH,1,Etta James - Born Under a Bad Sign,209,,"Life, Love & The Blues",98,EnglisLh
13514,1110,2,1,WoM144865,1,"Born Under a Bad Sign (Life, Love & The Blues)",03:29,Etta James,"Life, Love & The Blues",1998,
2105,1111,1,4,209216-A013,10,010-Remedy (Numan remix),5m 12sec,Crookers feat. Miike Snow,Remedy (2010),,Eng.
10913,1111,2,5,14854316,10,Remedy (Numan remix),312000,Crookers feat. Miike Snow,Remedy,2010,English
13677,1111,4,2,MBox40146812-HH,10,Crookers feat. Miike Snow - Remedy (Numan remix),31 2,,Remedy,10,English
15873,1111,3,1,WoM29708632,10,Remedy (Numan remix),05:12,Crookers feat. Miike Snow,Remedy,2010,
16736,1111,5,3,6458403MB-01,10,Remedy (Numan remix),5.2,Crookers feat. Miike Snow,Remedy,'10,English
2106,1112,1,2,MBox16727525-HH,12,lovesliescrushing - MERR,363,,Chorus,7,English
6565,1112,2,3,26909510MB-01,12,MERR - Chorus,6.05,lovesliescrushing,,'07,English
13623,1112,4,5,6189188,12,MERR,363000,lovesliescrushing,CChorus,2007,English
18569,1112,3,4,87172-A09,12,012_MERR,6m 3sec,lovesliescrushing,Chorus (2007),,nEg.
2122,1119,1,2,MBox38569617-HH,6,Hadouken! - Parasite (Akira Kiteshi Rulin' instrumental),301,,Parasite EP,,English
10827,1119,2,3,6204680MB-01,6,Parasite (Akira Kiteshi Rulin' instrumental) - Parasite EP,5.017,Hadouken!,,,English
2127,1121,1,2,MBox28892733-HH,1,Klein & M.B.O. - Dirty Talk (U.S.A. Connection),665,,Dirty Talk,82,English
16013,1121,2,3,46479619MB-01,1,Dirty Talk (U.S.A. Connection),11.083,Klein & M.B.O.,Dirt Talk,'82,English
2129,1122,1,4,52745-A015,11,011-Datura Stramonium,3m 2sec,Metal Fingers,"Special Herbs, Vol. IX & 0  (2005)",,Eng.
14044,1122,2,5,3744877,11,Datura Stramonium,182600,Metal Fingers,"Special Herbs, Volume 9 &",2005,English
2131,1124,1,1,WoM8517829,4,Ballad of John Newton (There Was a Time),00:00,John Hendrix,There Was a Time,,
8214,1124,2,2,MBox1151063-HH,4,John Hendrix - Ballad of John Newton,,,There Was a Time,,English
2137,1126,1,2,MBox627758-HH,1,Dreams So Real - Gloryline,28 9,,Gloryline,90,English
10387,1126,2,3,1009860MB-01,1,Gloryline,4.83,Dreams So Real,Gloryline,'90,English
2140,1127,1,5,13454016,1,Bru Sleeps,305076,Stefano Tucci,Electronic Adventure Music Scores,2010,English
15983,1127,2,1,WoM26908032,1,Bru Sleeps (Electronic Adventure Music Scores),505,Stefano Tucci,Electronic Adventure Music Scores,201 0,
2143,1128,1,5,13222564,10,Thinkin' About You,218466,Britney Spears,...Baby One More Time,1999,English
6152,1128,2,1,WoM26445130,10,Thinkin' About You (...Baby One More Time),03:38,Britney Spears,...Baby One More Time,1999,
2157,1132,1,1,WoM27668317,19,Je n’attends plus personne (The Vogue Years),03:07,François Hardy,The Vogue Years,2001,
9114,1132,3,3,6014853MB-01,90,Je n’attends plus personne - The Vogue Years,3.117,Françoise Hardy,,'01,French
16176,1132,2,2,MBox37389611-HH,19,Françoise Hardy - Je n’attends plus personne,187,,The Vogue Years,1,French
1731,1135,2,1,WoM3475836,7,"T'as d'beaux yeux tu sais (Enfants, soyez meilleurs que nous)",02:27,Serge Reggiani,"Enfants, soyez meilleurs que nous",2000,
2160,1135,1,5,1737920,7,T'as d'beaux yeux tu sais,147800,Serge Reggiani,"Enfants, soyez meilleurs que nous",2000,French
2165,1137,1,3,48752016MB-01,1,No quiero verte más llorar - 12 Alegres y Calentanos Exitos,2.7,Tierra Cali,,'11,Spanish
10493,1137,2,4,157929-A043,1,001-No quiero verte mas llorar,2m 42sec,Tierra Cali,12 Alegres y Calentanos Exitos (2011),,Spa.
2166,1138,1,2,MBox30313027-HH,7,Jean-Jacques Goldman - Sache que je,381,,L'intégrale 90-2000,0,French
5295,1138,4,5,11215825,7,Sache que je,381000,Jean-Jacques Goldman,L'intégrale 90-2000,2000,French
9174,1138,3,4,157969-A059,7,007-Sache que je,6m 21sec,Jean-Jacques Goldman,L'integrale 90-2000,2000,Fre.
12373,1138,5,1,WoM22431641,7,Sache que je (L'intégrale 90-2000),06:21,Jean-Jacques Goldman,L'intégrale 90-2000,2000,
18109,1138,2,3,48764420MB-01,7,Sache que je - L'intégrale 90-2000,6.35,Jean-Jacques Goldman,,'00,French
2168,1139,1,4,60142-A020,7,007-Jesus on the Radio,2m 17sec,Guster,Keep It Together (2005),,Eng.
5946,1139,2,5,4270069,7,Jesus on the Radio,137053,Guster,Keep It Together,2005,EEnglish
17551,1139,3,1,WoM8540135,7,Jesus on the Radio (Keep It Together),02:17,Guster,Keep It Together,2005,
2175,1140,1,5,8222097,7,Message de paix (feat. Big Red),196000,L'Esprit du Clan,Chapitre III : Corpus delicti,2007,French
2240,1140,2,1,WoM16444213,7,Message de paix (feat. Big Red) (Chapitre III : Corpus delicti),03:16,L'Esprit du Clan,Chapitre III : Corpus delicti,2007,
2177,1142,1,3,40843813MB-01,4,Destroy All Night - Anchor and The Noose [EP],4.491,Pistols Of Dawn,,,English
7959,1142,2,4,132311-A032,4,004-Destroy All Night,4m 29sec,Pistols Of Dawn,Anchor The and Noose [EP] (unknown),,Eng.
15707,1142,5,2,MBox25389414-HH,4,Pistols Of Dawn - Destroy All Night,269,,Anchor and The Noose [EP],,English
15979,1142,3,5,9394080,4,Destroy All Night,269440,Pistols Of Dawn,Anchor and The Noose [EP],,English
17564,1142,4,1,WoM18788146,4,Destroy All Night (Anchor and The Noose [EP]),04:29,Pistols Of Dawn,Anchor and The Noose [EP],,
2178,1143,1,5,5995706,6,Bones Solo,160853,BoneZone,In Session,2007,English
11217,1143,2,1,WoM11991422,6,Bones Solo (In Session),02:40,BoneZone,In Session,2007,
2180,1144,1,1,WoM14472228,3,Suudelda neidu (Must album),04:13,Loits,Must album,2008,
12599,1144,2,2,MBox19557034-HH,3,Loits - Suudelda neidu,253,,Must album,8,Estonian
2187,1146,1,3,1740209MB-01,2,U 14 - Sound That Hammers,4.408,Natty Bass Live,,,French
2940,1146,2,4,56373-A012,2,002-U 14,4m 24sec,Natty Bass Live,sound that (unknown) hammers,,Fre.
5690,1146,3,5,4002462,2,U 14,264466,Natty Bass Live,Sound That Hammers,,French
13118,1146,4,1,WoM8004928,2,U 14 (Sound That Hammers),04:24,Natty Bass Live,Sound That Hammers,,
2192,1148,1,3,824501MB-01,2,In the Grip of a Tyrefitter's Hand - The Very Best of Budgie,6.393,Budge,,'98,English
14528,1148,3,5,1896344,2,In the Grip of a Tyrefitter's Hand,383600,Budgie,The Very Best of Budgie,1998,English
19347,1148,2,4,26709-A038,2,002-In the Grip of a Tyrefitter's Hand,6m 23sec,Budgie,The Very Best of Budgie (1998),,Eng.
919,1149,2,5,10929517,7,Hard,210320,Asia,,1994,English
1845,1149,5,3,47519616MB-01,7,Hard on Me - Gold,3.505,Asia,,'05,English
2195,1149,1,4,153937-A023,7,007-Hard on Me,3m 30sec,Asia,Gold (2005),,Eng.
4298,1149,3,1,WoM21859033,7,Hard on Me (Gvold),03:30,Asia,Gold,2005,
8988,1149,4,2,MBox29539225-HH,7,Asia - Hard on Me,210,,Gold,5,English
646,1153,3,2,MBox409310-HH,2,Fernando Villalona - Para olvidarme de ti,177,,Mis primeras canciones,,Spanish
2205,1153,1,5,1514435,2,Para olvidarme de ti,177866,Fernando Villalona,Ms primeras canciones,,Spanish
11487,1153,2,1,WoM302891,2,Para olvidarme de ti (Mis primeras canciones),02:57,Fernando Villalona,Mis primeras canciones,,
2208,1154,1,1,WoM19076434,20,Space Jerk (Promos 5: Kidz Stuff),00:29,Kevin Jarvis,Promos 5: Kidz Stuff,,
3041,1154,2,2,MBox2577900-HH,20,Kevin Jarvis - Space Jerk,29,,Promos 5: Kidz Stuff,,English
5078,1154,4,4,134341-A040,20,020-Space Jerk,0m 29sec,Kevin Jarvis,Promos 5: Kidz Stuff (unknown),,EEng.
14346,1154,3,3,41470510MB-01,20,nulll,0.483,evin Jarvis,,,English
2212,1156,1,5,15351096,4,Three Steps to Heaven,241000,Eddie Cochran,The Story of Rock Music Collection: Eddie Cochran / The Platters,1991,English
11547,1156,2,1,WoM30702212,4,Three Steps to Heaven (The Story of Rock Music Collection: Eddie Cochran / The Platters),02:21,Eddie Cochran,The Story of Rock Music Collection: Eddie Cochran / The Platters,1991,
2215,1157,1,3,5310980MB-01,1,,2.736,Esham,Comerica - Bruce Wayne: Gothom 1987,'97,English
18775,1157,2,4,172046-A014,1,001-Comerica,2m 44sec,Esham,Bruce Wayne: Gothom 1987 (1997),,Eng.
2223,1162,1,1,WoM19551346,3,Fetishism Ark (off Vocal),04:41,いとうかなこ,Fetishism Ark,2010,
6661,1162,2,2,MBox26420733-HH,3,いとうかなこ - Fetishism Ark (off Vocal),281,,Fetishism Ark,10,Japaese
10969,1162,3,3,42502920MB-01,3,Fetishism Ark (off Vocal),4.684,いとうかなこ,Fetishism Ark,'10,Japanese
2226,1163,1,3,35201110MB-01,1,"Wake Up (club remix) - RaveBase: Raver's Paradise, Phase 9",6.293,Interactive,,'97,Englsih
11348,1163,2,4,114032-A017,1,001-Wake Up (club remix),6m 17sec,Interactive,"RaveBase: Raver's Paradise, Phase 9 (1997)",,Eng.
18439,1163,3,5,8096256,1,Wake Up (club remix),377560,Interactve,"RaveBase: Raver's Paradise, Phase 9",1997,English
2228,1165,1,5,2370607,5,Mam Tor,327186,Vandal,The Raygun Administration:2,,
14662,1165,2,1,WoM4741223,5,Mam Tor (The Raygun Administration:2),05:27,Vandal,The Raygun Administration:2,,
93,1168,2,4,34732-A08,5,005-Put Me Back Together,2m 57sec,Drive Like You Stole It,Frequency (unknown),,Eng.
2237,1168,1,3,1072159MB-01,5,Puut Me Back Together - Frequency,2.966,Drive Like You Stole It,,,English
2241,1169,1,2,MBox2717986-HH,1,Ελένη Βιτάλη - Χωρίς δεκάρα,,,Μεγάλες επιτυχίες,97,Greek
12684,1169,2,3,4372407MB-01,1,Χωρίς δεκάρα - Μεγάλες επιτυχίες,,Ελένη Βιτάλη,,'97,G.
2248,1171,1,5,4902607,17,Soldier Boy,162000,The Shirelles,The Heart of Rock 'n' Roll: Slow Dancing Classics,,English
6873,1171,4,3,2131573MB-01,17,Soldier Boy - The Heart of Rock 'n' Roll: Slow Dancing Classics,2.7,Shire lles,,,English
14983,1171,2,1,WoM9805223,17,Soldier Boy (The Heart of Rock 'n' Roll: Slow Dancing Classics),02:42,Shirelles,The Heart of Rock 'n' Roll: Slow Dancing Classics,,
18916,1171,3,2,MBox1325038-HH,17,The Shirelles - Soldier Boy,162,,The Heart of Rock 'n' Roll: Slow Dancing Classics,,English
2258,1174,1,3,4881032MB-01,17,"Intermezzo in B minor, Op. 119 No. 1: Adago - Brahms: Complete Works",3.4,Johannes Brahms,,'09,English
12966,1174,2,4,158118-A019,17,"017-Intermezzo in B minor, Op. 119 No. 1: Adagio",m sec,Johannes Brahms,Brahms: Complete Works (2009),,Eng.
15446,1174,3,5,11226364,17,"Intermezzo in B minor, Op. 119 No. 1: Adagio",204000,Johannes Brahms,Brahms: Compplete Works,2009,English
2261,1176,1,5,15050722,7,ojos negros,225000,Rosario,Mucho,1996,spanish
8479,1176,2,1,WoM30101438,7,Mis ojos negros (Mucho por vivir),03:45,Rosario,Mucho por vivir,1996,
2262,1177,1,2,MBox314523-HH,13,Mauro Picotto - Underground,319,,VIP Lounge (disc 1),,English
10890,1177,2,3,5059614MB-01,13,Underground - VIP Lounge (disc 1),5.333,Mauro Picotto,,,English
15285,1177,3,4,16390-A058,13,013-Underground,5m 19sec,Mauro,VIP Lounge (disc 1) (unknown),,Eng.
2270,1182,1,4,189391-A00,9,009-She Don't Care About Time,3m 10sec,GoldenRoughfeat.JoePernice,Slippery Slope (2 003),,Eng.
7531,1182,3,1,WoM26893444,9,She Don't Care About Time S(lippery Slope),03:10,Golden Rough feat. Joe Pernice,Slippery Slope,2003,
15032,1182,2,5,13446728,9,She Don't Care About Time,190933,Golden Rough feat. Joe Pernice,Slippery Slope,2003,English
269,1183,2,3,23266420MB-01,10,Sigonella - Ho sognato una strada,3.62,Ivano  Fossati,,'06,Italian
2271,1183,1,2,MBox14462924-HH,10,Ivano Fossati - Sigonella,217,,Ho sognato una strada,6,Ialian
17527,1183,3,4,75370-A048,10,010-mSigonella,3m 37sec,Ivano Fossati,Ho sognato una strada (2006),,Ita.
2273,1184,1,5,1909551,4,Love Songs (demo mix),142746,Chocolate City,"X-Mix, Volume 9: Transmission From Deep Space Radio",1997,English
8231,1184,2,1,WoM3819117,4,"Love Love Songs (demo mix) (X-Mix, Volume 9: Transmission From Deep Space Radio)",02:22,Chocolate City,"X-Mix, Volume 9: Tarnsmission From Deep Space Radio",1997,
12381,1184,5,4,26895-A039,6,004-Love Songs (demo mix),2m 22sec,Chocolate City,"X-Mix, Volume 9: Transmission From Deep Space Radio (1997)",,Eng.
17870,1184,4,3,830246MB-01,4,"Love Songs (demo mix) - X-Mix, Volume 9: Transmission From Deep Space Radio",2.379,Chocolate City,,'97,English
18836,1184,3,2,MBox5160930-HH,4,Chocolate City - Love Songs (demo mix),142,,"X-Mix, Volume 9: Transmission From Deep Space Radio",97,English
2274,1185,1,2,MBox5388932-HH,3,Praise Choir and Orchestra (Majestic Praise) - Medley: Your Are Crowned With Many Crowns / In Him WeLive / We Bring the Sacrifice of Praise,282,,Giive Him Glory,,
